"asset_id","asset_name","category","type","mission","scene_location","description","color_palette_hex","lighting_mood","lod_notes","file_path","source_pack","owner_dept","status"
"ENV-HOL-015","Staircase Barrier","Environment","Blocking Prop","M1","Hollow Interior - Stairs","Wooden barrier 'in repair' walling off the locked upstairs","#6B4A2B","Dim cozy interior","LOD0 only","Assets/_Project/Art/Environment/Hollow/StairBarrier.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-HOL-016","Door Bell","Environment","Audio Prop","M1","Hollow Interior - Entrance","Soft single ring on entry/exit","#C9912E","Dim cozy interior","LOD0 only; tiny","Assets/_Project/Art/Environment/Hollow/DoorBell.prefab","Custom","Environment","Locked"
"ORB-GIFT-001","Bee Gift Orb","Memory Orb","Narrative Orb","M1","Hollow Interior - Shelf 1","Amber-gold orb; a single calm bee suspended mid-flight; hums faintly when near","#F2B45A / #C9912E","Lit by shelf candle glow","LOD0 hero; MemoryOrb_Master material instance","Assets/_Project/Art/Memories/Materials/Orb_Gift_Bee.mat","All In 1 Shader Nodes","VFX/Tech Art","Locked"
"ORB-GIFT-002","Kettle Gift Orb","Memory Orb","Narrative Orb","M1","Hollow Interior - Shelf 2","Pale-silver orb containing only the sound of a kettle before boiling; warms the room half a degree","#BFD0DA / #F4E7CE","Lit by shelf candle glow","LOD0 hero; material instance","Assets/_Project/Art/Memories/Materials/Orb_Gift_Kettle.mat","All In 1 Shader Nodes","VFX/Tech Art","Locked"
"ORB-GIFT-003","Empty Chair Gift Orb","Memory Orb","Narrative Orb","M1","Hollow Interior - Shelf 3","Cool-sepia orb showing a single empty wooden chair in late-afternoon light","#7A5C3E / #BFD0DA","Lit by shelf candle glow","LOD0 hero; material instance","Assets/_Project/Art/Memories/Materials/Orb_Gift_EmptyChair.mat","All In 1 Shader Nodes","VFX/Tech Art","Locked"
"ORB-MASTER-001","MemoryOrb_Master Shader","Memory Orb","Shader Graph","M1-M2","All scenes","Master orb shader: glass refraction, fresnel rim, dissolve cracks, scanline veil, world outline, hologram preview; exposes clarity/crack_intensity/dissolve_progress/glow_strength/palette_tint","#F2B45A base tint (palette-driven)","Self-glowing; reacts to scene light","LOD0 only (hero); ~70% of mini-game visuals; mobile variant strips refraction to flat-glass on low tier","Assets/_Project/Art/Memories/MemoryOrb_Master.shadergraph","All In 1 Shader Nodes","Tech Art","Locked"
"ORB-M1-001","Doris's Memory Orb","Memory Orb","Gameplay Orb","M1","Hollow Interior - Workbench","The first orb the player polishes; starts clarity 0.4 amber-fogged, reveals 'kitchen at first light' set-piece","#F2B45A / #FFC68A (JOY+GRACE)","Amber-fog -> bright clarity reveal","LOD0 hero; material instance of Master","Assets/_Project/Art/Memories/Materials/Orb_Doris_FirstLoaves.mat","All In 1 Shader Nodes","VFX/Tech Art","Locked"
"ORB-M2-001","Gerrold's Cracked Orb","Memory Orb","Gameplay Orb","M2","Hollow Interior + Cottage","Margery's last week; crack_intensity 0.6 with soft-amber CORE region; Cleanse target; crossing core erases","#6B7E96 / #FF9650 core (GRIEF+core)","Cool grief body, warm amber core","LOD0 hero; material instance; core region mask","Assets/_Project/Art/Memories/Materials/Orb_Gerrold_LastWeek.mat","All In 1 Shader Nodes","VFX/Tech Art","Locked"
"ENV-GAR-001","Raised Wooden Bed","Environment","Functional Prop","M2","Herb Garden","4 beds; 2 cropped (lavender/valerian), 2 empty (planted by player in M3+)","#6B4A2B / #7A5C3E","Bright morning garden (10:00)","LOD0/LOD1; instanced x4","Assets/_Project/Art/Environment/Garden/RaisedBed.prefab","Harvest Garden","Environment","Locked"
"ENV-GAR-002","MemoryHerb Lavender","Environment","Crop Prop","M2","Herb Garden","Re-skinned crop, 3 per bed; carries effect:Calm; harvest chord D minor","#9B86C4 / #7E8C5A","Bright morning garden","LOD0/LOD1; cross-fade; harvestable stub","Assets/_Project/Art/Environment/Garden/MemoryHerb_Lavender.prefab","Harvest Garden","Environment","Locked"
"ENV-GAR-003","MemoryHerb Valerian","Environment","Crop Prop","M2","Herb Garden","Re-skinned crop, 3 per bed; carries effect:Sleep; harvest chord G major sus","#F4E7CE / #8FA66E","Bright morning garden","LOD0/LOD1; harvestable stub","Assets/_Project/Art/Environment/Garden/MemoryHerb_Valerian.prefab","Harvest Garden","Environment","Locked"
"ENV-GAR-004","Watering Can","Environment","Interactable Prop","M2","Herb Garden","One-button ~3s watering animation; rests on a stool","#9A9187 / #C9912E","Bright morning garden","LOD0 only; interactable","Assets/_Project/Art/Environment/Garden/WateringCan.prefab","Harvest Garden","Environment","Locked"
"ENV-GAR-005","Hoe","Environment","Prop","M2","Herb Garden","Visible but not interactable in M1-2 (seeds M3 tools)","#6B4A2B / #9A9187","Bright morning garden","LOD0 only","Assets/_Project/Art/Environment/Garden/Hoe.prefab","Harvest Garden","Environment","Locked"
"ENV-GAR-006","Harvest Basket","Environment","Prop","M2","Herb Garden","Carries harvested herbs after interaction","#C9912E / #6B4A2B","Bright morning garden","LOD0 only","Assets/_Project/Art/Environment/Garden/Basket.prefab","Harvest Garden","Environment","Locked"
"ENV-GAR-007","Garden Fence Panel","Environment","Modular Prop","M2","Herb Garden","6 low wooden panels enclose the garden","#6B4A2B / #4A3220","Bright morning garden","LOD0/LOD1; instanced","Assets/_Project/Art/Environment/Garden/FencePanel.prefab","Harvest Garden","Environment","Locked"
"ENV-GAR-008","Stepping Stone","Environment","Floor Prop","M2","Herb Garden","5 stones from the workbench door to the beds","#9A9187 / #7E8C5A","Bright morning garden","Single LOD; Microdetail moss","Assets/_Project/Art/Environment/Garden/SteppingStone.prefab","Harvest Garden + Microdetail Terrain","Environment","Locked"
"ENV-GAR-009","Garden Stool","Environment","Prop","M2","Herb Garden","Where the watering can rests","#6B4A2B","Bright morning garden","LOD0 only","Assets/_Project/Art/Environment/Garden/Stool.prefab","Harvest Garden","Environment","Locked"
"ENV-GAR-010","Decorative Flowerpot","Environment","Prop","M2","Herb Garden","3 empty aesthetic pots","#B5482E / #6B4A2B","Bright morning garden","LOD0 only; instanced","Assets/_Project/Art/Environment/Garden/Flowerpot.prefab","Harvest Garden","Environment","Locked"
"ENV-COT-001","Widower's Cottage Building","Environment","Hero Building","M2","Widower's Cottage Exterior","Cottage_StoneB shell with Colorize soft-blue door; 80% mood 20% prop","#9A9187 / #9DB4C0","Early afternoon, first sun after overcast; light fog 0.3","LOD0 hero, LOD1; no impostor","Assets/_Project/Art/Environment/Cottage/Cottage_Widower.prefab","Medieval Village Megapack + Colorize","Environment","Locked"
"ENV-COT-002","Split Front Step","Environment","Narrative Prop","M2","Widower's Cottage Exterior","Custom 4-poly plank with a visible split ('the wood gave')","#6B4A2B / #4A3220","Afternoon; lantern halos","LOD0 only; 4 tris","Assets/_Project/Art/Environment/Cottage/FrontStep_Split.prefab","Custom","Environment","Locked"
"ENV-COT-003","Doormat","Environment","Prop","M2","Widower's Cottage Exterior","Standard doormat at the threshold","#7A5C3E","Afternoon","LOD0 only","Assets/_Project/Art/Environment/Cottage/Doormat.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-COT-004","Half-Drawn Curtain","Environment","Narrative Prop","M2","Widower's Cottage","Custom 12-poly cloth, very subtle Zephyr animation; drawn half-way","#F4E7CE / #9DB4C0","Cool window ambient","LOD0 only; subtle wind","Assets/_Project/Art/Environment/Cottage/Curtain_HalfDrawn.prefab","Custom + Zephyr","Environment","Locked"
"ENV-COT-005","Empty Bird Feeder","Environment","Narrative Prop","M2","Widower's Cottage Exterior","Custom 'empty' texture; Margery used to fill it; one of two strongest exterior mood-tellers","#6B4A2B / #9A9187","Afternoon; light fog","LOD0 only","Assets/_Project/Art/Environment/Cottage/BirdFeeder_Empty.prefab","Medieval Village Megapack + Custom","Environment","Locked"
"ENV-COT-006","Dead Lavender Basket","Environment","Narrative Prop","M2","Widower's Cottage Exterior","Harvest Garden lavender recolored grey in a hanging basket; second strongest exterior mood-teller","#9A9187 / #7A5C3E","Afternoon; light fog","LOD0 only","Assets/_Project/Art/Environment/Cottage/Basket_DeadLavender.prefab","Harvest Garden + Custom","Environment","Locked"
"ENV-COT-007","Gerrold's Chair","Environment","Narrative Prop","M2","Widower's Cottage Interior","High-back wooden chair; worn, seat-cushion indent","#6B4A2B / #7A5C3E","Hearth-warm afternoon","LOD0 only","Assets/_Project/Art/Environment/Cottage/Chair_Gerrold.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-COT-008","Margery's Chair","Environment","Narrative Prop","M2","Widower's Cottage Interior","Mirror of Gerrold's, slightly different fabric (Colorize); identical indent 'as if she still sat in it'","#6B4A2B / #8C7AA6","Hearth-warm afternoon","LOD0 only","Assets/_Project/Art/Environment/Cottage/Chair_Margery.prefab","Medieval Village Megapack + Colorize","Environment","Locked"
"ENV-COT-009","Unfinished Book on Chair Arm","Environment","Narrative Prop","M2","Widower's Cottage Interior","Custom 24-poly book open to a page Margery never finished; pressed-leaf bookmark matches Marin's book (cross-ref)","#F4E7CE / #B5482E","Hearth-warm","LOD0 only","Assets/_Project/Art/Environment/Cottage/Book_Margery_Unfinished.prefab","Custom","Environment","Locked"
"ENV-COT-010","Cold Tea Cup","Environment","Narrative Prop","M2","Widower's Cottage Interior","Filled tea cup with a 'cold' tint shader, set in front of Margery's chair; Gerrold places one daily; intentional silence","#8FA66E / #9DB4C0","Hearth-warm but cup reads cool","LOD0 only; cold-tint material","Assets/_Project/Art/Environment/Cottage/TeaCup_Cold.prefab","Harvest Garden + Custom","Environment","Locked"
"ENV-COT-011","Two Place Settings","Environment","Narrative Prop","M2","Widower's Cottage Interior","One fresh, one unused; Mission 2's most poignant detail","#F4E7CE / #9A9187","Hearth-warm","LOD0 only","Assets/_Project/Art/Environment/Cottage/PlaceSettings_Pair.prefab","Medieval Village Megapack","Environment","Locked"
"ENV-COT-012","Wedding Photograph","Environment","Hero Narrative Prop","M2","Widower's Cottage - Mantel","Custom sepia photo; young Margery & Gerrold ~36 yrs ago; younger Doris visible in background holding bread (M1 cross-ref)","#7A5C3E / #C9912E","Mantel candle #FFE0A0","LOD0 only; bespoke 2k photo texture","Assets/_Project/Art/Environment/Cottage/Photo_Wedding.prefab","Custom","Concept/Environment","In Progress"
"ENV-COT-013","Carpenter's Toolbox","Environment","Narrative Prop","M2","Widower's Cottage Interior","Under Gerrold's chair; chisel+hammer+plane; unused recently (chisel mesh from Magic Arsenal sub-pack)","#6B4A2B / #9A9187","Hearth-warm","LOD0 only","Assets/_Project/Art/Environment/Cottage/Toolbox_Carpenter.prefab","Custom + Magic Arsenal","Environment","Locked"
"ENV-COT-014","Hearth Fire","Environment","Hero Light Prop","M2","Widower's Cottage Interior","Custom log mesh + particle flame + Lumen Candle_Warm x3; the cottage is warm because Doris lit it","#FF9650 / #E8843C","Realtime point #FF9650, gentle sine flicker","LOD0 only; flame is VFX","Assets/_Project/Art/Environment/Cottage/Hearth_Fire.prefab","Custom + Lumen","Environment/VFX","Locked"
"ENV-COT-015","Closed Bedroom Door","Environment","Narrative Blocking Prop","M2","Widower's Cottage Interior","Brass handle polished recently; steady light leak underneath; M5+ content sealed behind it","#6B4A2B / #FFE0A0","Faint warm light leak under door","LOD0 only","Assets/_Project/Art/Environment/Cottage/Door_Bedroom_Closed.prefab","Medieval Village Megapack","Environment","Locked"
"CHR-001","Doris the Baker","Character","Hero NPC","M1","Lane + Hollow","BoZo Cleric reskin: round face +5 eye wrinkles, silver-streaked-brown bun w/ loose temple strand, off-white flour-dusted linen apron, rolled sleeves, freckled forearms, wooden hairpin","#F4E7CE / #C9912E / #6B4A2B","Warm; reads cozy in dusk and interior","LOD0 ~8k, LOD1 50%, LOD2 35%; mobile = 1/3 texture cost vs realistic","Assets/_Project/Art/Characters/Doris/Doris.prefab","BoZo Stylized Modular + Colorize","Character","Locked"
"CHR-002","Gerrold the Widower","Character","Hero NPC","M2","Hollow + Cottage","BoZo Bard reskin: sharper jaw mid-60s, silver hair, faint stubble, dark under-eyes, knee-length brown coat, leather tool-belt w/ chisels, stooped 'carried-weight' walk, white handkerchief w/ embroidered M","#7A5C3E / #6B4A2B / #9A9187","Muted; grief-weighted, warms slightly in cottage","LOD0 ~8k, LOD1, LOD2; handkerchief held-item separate","Assets/_Project/Art/Characters/Gerrold/Gerrold.prefab","BoZo Stylized Modular + Colorize","Character","Locked"
"CHR-003","Silent Lane Villager","Character","Background NPC","M1","Village Lane at Dusk","BoZo Warrior reskin -> older man with a flat cap (custom cap mesh); sits on the bench reading a letter; player can wave, he nods","#6B4A2B / #9A9187","Dusk warm","LOD0 ~6k, LOD1, LOD2 impostor (background)","Assets/_Project/Art/Characters/Villager_Silent/Villager_Silent.prefab","BoZo Stylized Modular","Character","Locked"
"CHR-004","Pickle the Cat","Character","Companion","M1-M2","Hollow windowsill (follows rarely)","Purchased Stylized Cat (chibi) re-skinned slate-grey tabby w/ single white sock; 8 of 15 anims for M1-2 (sleep/stretch/sit/walk/tail-flick/head-turn/judging-stare/paw-on-orb)","#6E7378 / #F4E7CE","Always softly lit on windowsill","LOD0 only (small hero); skeleton + 8 anims","Assets/_Project/Art/Characters/Pickle/Pickle.prefab","Asset Store Cat (purchase) + reskin","Character/Animation","In Progress"
"CHR-ACC-001","Doris Apron Overlay","Character","Accessory Mesh","M1","Lane + Hollow","~40-poly apron overlay, off-white linen, flour-dust decal","#F4E7CE / #9A9187","Warm","Merged into Doris LOD chain","Assets/_Project/Art/Characters/Doris/Apron_Overlay.fbx","Custom","Character","Locked"
"CHR-ACC-002","Gerrold Handkerchief","Character","Accessory Mesh","M2","Hollow + Cottage","~15-poly white linen handkerchief with embroidered 'M'; held-item + examinable codex object","#F4E7CE / #7A5C3E","Warm/muted","LOD0 only; tiny","Assets/_Project/Art/Characters/Gerrold/Handkerchief_M.fbx","Custom","Character","Locked"
"ANIM-001","Doris ACS Layer Set","Animation","ACS Upper-Body Layers","M1","Lane + Hollow","Kneading (3s loop), Wiping hands on apron (2s one-shot), Offering the box warmly with two hands (2s)","n/a","n/a","Mecanim humanoid; layered over base idle","Assets/_Project/Animations/Doris/Doris_ACS.controller","Animation Composer System","Animation","Locked"
"ANIM-002","Gerrold ACS Layer Set","Animation","ACS Upper-Body Layers","M2","Hollow + Cottage","Carried-weight stooped walk overlay; sits/chair-creak; handkerchief-in-hands idle","n/a","n/a","Mecanim humanoid; layered","Assets/_Project/Animations/Gerrold/Gerrold_ACS.controller","Animation Composer System","Animation","Locked"
"ANIM-003","Eyes Animator Profiles","Animation","Eye Rig Config","M1-M2","All speaking NPCs","Doris: blink 0.15/s, saccade 0.4/s look-at player>orb>shelf; Gerrold: pupil 0.4, saccade 0.25/s, look-at handkerchief>chair>ground>player","n/a","n/a","Component config per head rig; mandatory for every speaker","Assets/_Project/Animations/EyesAnimator_Profiles.asset","Eyes Animator","Animation","Locked"
"VFX-001","GodRay Soft Warm","VFX","Lumen Mesh Light","M1","Lane + Hollow","World-space god-ray meshes through tree gaps and shop window; 4 in lane, 4 in shop window; -50% intensity on Mobile","#FFC68A / #F2B45A","Dusk/afternoon warmth + wayfinding","Mesh-light (not post); LOD via intensity tier","Assets/_Project/Prefabs/VFX/Lumen/GodRay_Soft_Warm.prefab","Lumen Stylized Light FX 2","Lighting/VFX","Locked"
"VFX-002","Window Warm Glow","VFX","Lumen Mesh Light","M1","Lane (bakery) + Hollow","Warm window glow; the bakery's two windows are the first destination the player sees","#FFE0A0 / #E8843C","Warm beacon","Mesh-light; mobile-safe","Assets/_Project/Prefabs/VFX/Lumen/Window_WarmGlow.prefab","Lumen Stylized Light FX 2","Lighting/VFX","Locked"
"VFX-003","Lantern Lit Small","VFX","Lumen Mesh Light","M1-M2","Lane bend + cottage side-lane","Lit lantern halo; the lane-bend anchor and the 3 cottage-lane lanterns are cozy wayfinding","#FFE0A0","Warm halo","Mesh-light; mobile-safe","Assets/_Project/Prefabs/VFX/Lumen/Lantern_Lit_Small.prefab","Lumen Stylized Light FX 2","Lighting/VFX","Locked"
"VFX-004","Candle Warm","VFX","Lumen Mesh Light","M1-M2","Hollow shelves + stove + cottage hearth/mantel","Candle/ember glow prefab; 8 on shop shelves, inside stove, x3 hearth, x1 mantel","#FFE0A0 / #FF9650","Cozy ember glow","Mesh-light; pooled","Assets/_Project/Prefabs/VFX/Lumen/Candle_Warm.prefab","Lumen Stylized Light FX 2","Lighting/VFX","Locked"
"VFX-005","Firefly Particles","VFX","Particle System","M1","Village Lane at Dusk","8 firefly instances (3 on Mobile) drifting along the lane at dusk","#F2B45A / #EBD9A0","Dusk magic accent","GPU particles; count tiered by platform","Assets/_Project/Prefabs/VFX/Fireflies.prefab","Unity Particle System","VFX","Locked"
